date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:35:57	116369/116369	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Aug%202022%2015:25:51%20GMT	https://www.swedstrust.com/static/assets/img/mission-img1.jpg	C:/My%20Web%20Sites/test2/www.swedstrust.com/static/assets/img/mission-img1.jpg	(from https://www.swedstrust.com/)
13:35:57	63223/63223	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Aug%202022%2015:25:50%20GMT	https://www.swedstrust.com/static/assets/img/bg-dot2.png	C:/My%20Web%20Sites/test2/www.swedstrust.com/static/assets/img/bg-dot2.png	(from https://www.swedstrust.com/)
13:35:58	814/814	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Aug%202022%2015:25:51%20GMT	https://www.swedstrust.com/static/assets/img/icon-bg1.png	C:/My%20Web%20Sites/test2/www.swedstrust.com/static/assets/img/icon-bg1.png	(from https://www.swedstrust.com/)
13:35:58	621/621	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Aug%202022%2015:25:51%20GMT	https://www.swedstrust.com/static/assets/img/icon-bg2.png	C:/My%20Web%20Sites/test2/www.swedstrust.com/static/assets/img/icon-bg2.png	(from https://www.swedstrust.com/)
13:35:58	112544/112544	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Aug%202022%2015:25:51%20GMT	https://www.swedstrust.com/static/assets/img/mission-img2.jpg	C:/My%20Web%20Sites/test2/www.swedstrust.com/static/assets/img/mission-img2.jpg	(from https://www.swedstrust.com/)
13:35:58	518/518	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Aug%202022%2015:25:51%20GMT	https://www.swedstrust.com/static/assets/img/box-shape1.png	C:/My%20Web%20Sites/test2/www.swedstrust.com/static/assets/img/box-shape1.png	(from https://www.swedstrust.com/)
13:35:59	524/524	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Aug%202022%2015:25:51%20GMT	https://www.swedstrust.com/static/assets/img/box-shape2.png	C:/My%20Web%20Sites/test2/www.swedstrust.com/static/assets/img/box-shape2.png	(from https://www.swedstrust.com/)
13:35:59	163/163	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2028%20Oct%202023%2012:36:00%20GMT	https://www.swedstrust.com/assets/img/icon-bg1.png'%20%}	C:/My%20Web%20Sites/test2/www.swedstrust.com/assets/img/icon-bg1.png'%20%}	(from https://www.swedstrust.com/)
13:35:59	163/163	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2028%20Oct%202023%2012:36:01%20GMT	https://www.swedstrust.com/assets/img/icon-bg2.png'%20%}	C:/My%20Web%20Sites/test2/www.swedstrust.com/assets/img/icon-bg2.png'%20%}	(from https://www.swedstrust.com/)
13:36:00	119014/119014	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Aug%202022%2015:25:51%20GMT	https://www.swedstrust.com/static/assets/img/why-choose-img1.jpg	C:/My%20Web%20Sites/test2/www.swedstrust.com/static/assets/img/why-choose-img1.jpg	(from https://www.swedstrust.com/)
